player_name,first_name,last_name,age,birth_date,birth_country,nationality,height_cm,weight_kg,team_name,position,is_captain,appearances,starting_lineups,minutes_played,goals,assists,shots_saves,pass_accuracy,yellow_cards,red_cards,yellow_red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved
Javi Montero,Francisco Javier,Montero Rubio,25,1999-01-14,Spain,Spain,0,0,besiktas,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Luan Peres,Luan,Peres Petroni,30,1994-07-19,Brazil,Brazil,0,0,fenerbahce,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Carlos Vinícius,Carlos Vinícius,Alves Morais,29,1995-03-25,Brazil,Brazil,0,0,galatasaray,Attacker,False,7,1,107,1,0,0,2.0,2,0,0,0,0,0,0,0
G. Nkoudou,Georges-Kévin,Nkoudou Mbida,28,1995-02-13,France,Cameroon,0,0,besiktas,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
S. Aurier,Sèrge Alain Stéphane,Aurier,32,1992-12-24,Côte d'Ivoire,Côte d'Ivoire,0,0,galatasaray,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
D. Sánchez,Davinson,Sánchez Mina,28,1996-06-12,Colombia,Colombia,0,0,galatasaray,Defender,False,16,15,1367,2,0,0,52.0,3,0,0,0,0,0,0,0
M. Icardi,Mauro Emanuel,Icardi Rivero,31,1993-02-19,Argentina,Argentina,0,0,galatasaray,Attacker,False,27,24,2232,18,7,0,11.0,2,0,0,0,0,6,1,0
Angeliño,José Ángel,Esmoris Tasende,27,1997-01-04,Spain,Spain,0,0,galatasaray,Defender,False,8,7,605,0,1,0,27.0,1,0,0,0,0,0,0,0
T. Meunier,Thomas André A.,Meunier,33,1991-09-12,Belgium,Belgium,0,0,trabzonspor,Defender,False,8,8,716,0,3,0,43.0,2,0,0,0,0,0,0,0
D. Mertens,Dries,Mertens,37,1987-05-06,Belgium,Belgium,0,0,galatasaray,Attacker,False,29,24,1904,5,9,0,19.0,2,0,0,0,0,1,0,0
B. Stambouli,Benjamin Fernand Lucien,François Stambouli,34,1990-08-13,France,France,0,0,adana demirspor,Midfielder,False,20,17,1383,1,0,0,23.0,2,0,1,0,0,0,0,0
H. Wright,Haji Amir,Wright,25,1998-03-27,USA,USA,0,0,antalyaspor,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
F. Muslera,Néstor Fernando,Muslera Micol,38,1986-06-16,Argentina,Uruguay,0,0,galatasaray,Goalkeeper,False,30,30,2670,0,0,71,23.0,4,0,0,0,0,0,0,2
B. Şen,Batuhan Ahmet,Şen,25,1999-02-03,Türkiye,Türkiye,0,0,gazisehir gaziantep,Goalkeeper,False,4,4,360,0,0,11,13.0,0,0,0,0,0,0,0,2
E. Taşdemir,Emre,Taşdemir,29,1995-08-08,Türkiye,Türkiye,0,0,pendikspor,Defender,False,9,3,317,0,0,0,10.0,0,0,0,0,0,0,0,0
Y. Belhanda,Younès,Belhanda,34,1990-02-25,France,Morocco,0,0,adana demirspor,Midfielder,False,14,14,1080,3,0,0,23.0,4,0,0,0,0,0,0,0
R. Donk,Ryan Henk,Donk,37,1986-03-30,Netherlands,Suriname,0,0,kasimpasa,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
S. Féghouli,Sofiane,Féghouli,35,1989-12-26,France,Algeria,0,0,fatih karagumruk,Midfielder,False,22,16,1342,0,1,0,31.0,4,0,0,0,0,0,0,0
B. Ndiaye,Papa Alioune,Ndiaye,34,1990-10-27,Senegal,Senegal,0,0,pendikspor,Midfielder,False,6,6,526,0,0,0,29.0,1,0,0,0,0,0,0,0
C. Yüksel,Celil,Yüksel,25,1998-01-01,Türkiye,Türkiye,0,0,samsunspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
H. Onyekuru,Henry Chukwuemeka,Onyekuru,27,1997-06-05,Nigeria,Nigeria,0,0,adana demirspor,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
S. Gümüş,Sinan,Gümüş,30,1994-01-15,Germany,Germany,0,0,antalyaspor,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
A. Kol,Ali Yavuz,Kol,22,2001-01-29,Türkiye,Türkiye,0,0,adana demirspor,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
H. Ziyech,Hakim,Ziyech,31,1993-03-19,Netherlands,Morocco,0,0,galatasaray,Midfielder,False,12,7,638,2,2,0,19.0,3,0,0,0,0,0,0,0
D. Tadić,Dušan,Tadić,36,1988-11-20,Yugoslavia,Serbia,0,0,fenerbahce,Attacker,False,31,30,2589,9,11,0,25.0,3,0,0,0,0,6,3,0
A. Bakasetas,Anastasios,Bakasetas,31,1993-06-28,Greece,Greece,0,0,trabzonspor,Midfielder,False,18,14,1410,4,2,0,35.0,3,0,0,0,0,1,0,0
