Player ID,Name,First Name,Last Name,Age,Birth Date,Birth Place,Birth Country,Nationality,Height,Weight,Injured,Photo,TeamID,TeamName,TeamLogo,GamesAppearences,GamesLineups,GamesMin,GamesNumber,GamesPosition,GamesRating,GamesCaptain,SubsIn,SubsOut,SubsBench,ShotsTotal,ShotsOn,ShotsGoals,ShotsConceded,ShotsAssists,ShotsSaves,PassesTotal,PassesKey,PassesAccuracy,TacklesTotal,TacklesBlocks,TacklesInterceptions,DuelsTotal,DuelsWon,DribblesAttempts,DribblesSuccess,DribblesPast,FoulsDrawn,FoulsCommitted,CardsYellow,CardsYellowRed,CardsRed,PenaltyWon,PenaltyCommited,PenaltyScored,PenaltyMissed,PenaltySaved,TeamID2,TeamName2,TeamLogo2,GamesAppearences2,GamesLineups2,GamesMin2,GamesNumber2,GamesPosition2,GamesRating2,GamesCaptain2,SubsIn2,SubsOut2,SubsBench2,ShotsTotal2,ShotsOn2,ShotsGoals2,ShotsConceded2,ShotsAssists2,ShotsSaves2,PassesTotal2,PassesKey2,PassesAccuracy2,TacklesTotal2,TacklesBlocks2,TacklesInterceptions2,DuelsTotal2,DuelsWon2,DribblesAttempts2,DribblesSuccess2,DribblesPast2,FoulsDrawn2,FoulsCommitted2,CardsYellow2,CardsYellowRed2,CardsRed2,PenaltyWon2,PenaltyCommited2,PenaltyScored2,PenaltyMissed2,PenaltySaved2
35,Javi Montero,Francisco Javier,Montero Rubio,25,1/14/1999,Sevilla,Spain,Spain,185 cm,76 kg,FALSE,https://media.api-sports.io/football/players/35.png,549, Besiktas, https://media.api-sports.io/football/teams/549.png,0,0,0, null, Defender, null, False,0,0,1, null, null,0,0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,0,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
71,Luan Peres,Luan,Peres Petroni,30,7/19/1994,São Paulo,Brazil,Brazil,190 cm,74 kg,FALSE,https://media.api-sports.io/football/players/71.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,0,0,0, null, Defender, null, False,0,0,0, null, null,0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,0,0,0, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
104,Carlos Vinícius,Carlos Vinícius,Alves Morais,29,3/25/1995,Rio de Janeiro,Brazil,Brazil,190 cm,86 kg,FALSE,https://media.api-sports.io/football/players/104.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,7,1,107, null, Attacker, '6.540000', False,6,1,6,7,3,1,0, null, null,12,1,2,1,1, null,32,6,1, null, null,1,11,2,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
113,G. Nkoudou,Georges-Kévin,Nkoudou Mbida,28,2/13/1995,Versailles,France,Cameroon,172 cm,75 kg,FALSE,https://media.api-sports.io/football/players/113.png,549, Besiktas, https://media.api-sports.io/football/teams/549.png, null, null, null, null, Midfielder, null, False, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
163,S. Aurier,Sèrge Alain Stéphane,Aurier,32,12/24/1992,Ouragahio,Côte d'Ivoire,Côte d'Ivoire,176 cm,76 kg,FALSE,https://media.api-sports.io/football/players/163.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,0,0,0, null, Defender, null, False,0,0,1, null, null,0,0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,0,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
168,D. Sánchez,Davinson,Sánchez Mina,28,6/12/1996,Caloto,Colombia,Colombia,187 cm,81 kg,FALSE,https://media.api-sports.io/football/players/168.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,16,15,1367, null, Defender, '7.168750', False,1,3,3,10,4,2,0, null, null,1012,3,52,33,10,18,164,98,7,6, null,13,22,3,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
216,M. Icardi,Mauro Emanuel,Icardi Rivero,31,2/19/1993,Rosario,Argentina,Argentina,181 cm,75 kg,FALSE,https://media.api-sports.io/football/players/216.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,27,24,2232, null, Attacker, '7.444444', False,3,2,3,72,39,18,0,7, null,405,36,11,6,1,3,160,76,14,5, null,19,10,2,0,0, null, null,6,1, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
227,Angeliño,José Ángel,Esmoris Tasende,27,1/4/1997,Coristanco,Spain,Spain,175 cm,69 kg,FALSE,https://media.api-sports.io/football/players/227.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,8,7,605, null, Defender, '7.075000', False,1,3,8,2,1,0,0,1, null,278,13,27,10,1,12,49,20,7,2, null,4,6,1,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
264,T. Meunier,Thomas André A.,Meunier,33,9/12/1991,Sainte-Ode,Belgium,Belgium,191 cm,90 kg,FALSE,https://media.api-sports.io/football/players/264.png,998, Trabzonspor, https://media.api-sports.io/football/teams/998.png,8,8,716, null, Defender, '7.300000', False,0,1,0,5,2,0,0,3, null,360,12,43,9,2,5,53,26,7,2, null,1,9,2,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
332,D. Mertens,Dries,Mertens,37,5/6/1987,Leuven,Belgium,Belgium,169 cm,61 kg,FALSE,https://media.api-sports.io/football/players/332.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,29,24,1904, null, Attacker, '7.403448', False,5,24,7,60,31,5,0,9, null,729,56,19,32,1,8,184,71,33,11, null,24,39,2,0,0, null, null,1,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
407,B. Stambouli,Benjamin Fernand Lucien,François Stambouli,34,8/13/1990,Marseille,France,France,180 cm,82 kg,FALSE,https://media.api-sports.io/football/players/407.png,3563, Adana Demirspor, https://media.api-sports.io/football/teams/3563.png,20,17,1383, null, Midfielder, '6.830000', False,3,9,3,9,4,1,0, null, null,618,10,23,26,5,15,139,76,24,14, null,20,13,2,1,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
427,H. Wright,Haji Amir,Wright,25,3/27/1998,Los Angeles,USA,USA,193 cm,80 kg,FALSE,https://media.api-sports.io/football/players/427.png,1005, Antalyaspor, https://media.api-sports.io/football/teams/1005.png, null, null, null, null, Attacker, null, False, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
429,F. Muslera,Néstor Fernando,Muslera Micol,38,6/16/1986,Buenos Aires,Argentina,Uruguay,190 cm,84 kg,FALSE,https://media.api-sports.io/football/players/429.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,30,30,2670, null, Goalkeeper, '7.143333', False,0,1,0, null, null,0,20, null,71,876,1,23,1, null,2,13,13,1,1, null,2, null,4,0,0, null, null,0,0,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
430,B. Şen,Batuhan Ahmet,Şen,25,2/3/1999,İstanbul,Türkiye,Türkiye,194 cm,78 kg,FALSE,https://media.api-sports.io/football/players/430.png,3573, Gazişehir Gaziantep, https://media.api-sports.io/football/teams/3573.png,4,4,360, null, Goalkeeper, '6.550000', False,0,0,24, null, null,0,10, null,11,102,1,13, null, null, null,2,1, null, null, null,1, null,0,0,0, null, null,0,0,2,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,0,0,0,null,Goalkeeper,6.55,FALSE,0,0,0,null,null,0,10,null,11,102,1,13,null,null,null,2,1,null,null,null,1,null,0,0,0,null,null,0,0,2
442,E. Taşdemir,Emre,Taşdemir,29,8/8/1995,Ankara,Türkiye,Türkiye,176 cm,70 kg,FALSE,https://media.api-sports.io/football/players/442.png,3601, Pendikspor, https://media.api-sports.io/football/teams/3601.png,9,3,317, null, Defender, '6.637500', False,6,2,13,2, null,0,0, null, null,118,6,10,7, null,4,44,20,14,6, null,4,3,0,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
445,Y. Belhanda,Younès,Belhanda,34,2/25/1990,Avignon,France,Morocco,177 cm,78 kg,FALSE,https://media.api-sports.io/football/players/445.png,3563, Adana Demirspor, https://media.api-sports.io/football/teams/3563.png,14,14,1080, null, Midfielder, '6.950000', False,0,8,0,16,11,3,0, null, null,408,26,23,18, null,6,115,52,30,16, null,11,13,4,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
446,R. Donk,Ryan Henk,Donk,37,3/30/1986,Amsterdam,Netherlands,Suriname,192 cm,80 kg,FALSE,https://media.api-sports.io/football/players/446.png,1004, Kasimpasa, https://media.api-sports.io/football/teams/1004.png, null, null, null, null, Defender, null, False, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
447,S. Féghouli,Sofiane,Féghouli,35,12/26/1989,Levallois-Perret,France,Algeria,177 cm,75 kg,FALSE,https://media.api-sports.io/football/players/447.png,3589, Fatih Karagümrük, https://media.api-sports.io/football/teams/3589.png,22,16,1342, null, Midfielder, '6.776190', False,6,12,9,8,1,0,0,1, null,801,18,31,19,2,15,106,46,20,12, null,9,19,4,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
451,B. Ndiaye,Papa Alioune,Ndiaye,34,10/27/1990,Dakar,Senegal,Senegal,180 cm,74 kg,FALSE,https://media.api-sports.io/football/players/451.png,3601, Pendikspor, https://media.api-sports.io/football/teams/3601.png,6,6,526, null, Midfielder, '7.033333', False,0,1,0,5, null,0,0, null, null,296,5,29,19,3,8,78,52,11,10, null,21,11,1,0,0, null, null,0,0, null,3563, Adana Demirspor, https://media.api-sports.io/football/teams/3563.png,9,7,602,null,Midfielder,7.033333,FALSE,2,3,3,5,null,0,0,null,null,296,5,29,19,3,8,78,52,11,10,null,21,11,1,0,0,null,null,0,0,null
453,C. Yüksel,Celil,Yüksel,25,1/1/1998,Samsun,Türkiye,Türkiye,171 cm,63 kg,FALSE,https://media.api-sports.io/football/players/453.png,3603, Samsunspor, https://media.api-sports.io/football/teams/3603.png, null, null, null, null, Midfielder, null, False, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
456,H. Onyekuru,Henry Chukwuemeka,Onyekuru,27,6/5/1997,Onitsha,Nigeria,Nigeria,175 cm,70 kg,FALSE,https://media.api-sports.io/football/players/456.png,3563, Adana Demirspor, https://media.api-sports.io/football/teams/3563.png,0,0,0, null, Attacker, null, False,0,0,0, null, null,0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,0,0,0, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
459,S. Gümüş,Sinan,Gümüş,30,1/15/1994,Pfullendorf,Germany,Germany,179 cm,70 kg,FALSE,https://media.api-sports.io/football/players/459.png,1005, Antalyaspor, https://media.api-sports.io/football/teams/1005.png,0,0,0, null, Attacker, null, False,0,0,0, null, null,0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,0,0,0, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
461,A. Kol,Ali Yavuz,Kol,22,1/29/2001,Antalya,Türkiye,Türkiye,175 cm,null,FALSE,https://media.api-sports.io/football/players/461.png,3563, Adana Demirspor, https://media.api-sports.io/football/teams/3563.png, null, null, null, null, Attacker, null, False, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
548,H. Ziyech,Hakim,Ziyech,31,3/19/1993,Dronten,Netherlands,Morocco,180 cm,65 kg,FALSE,https://media.api-sports.io/football/players/548.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,12,7,638, null, Midfielder, '7.108333', False,5,7,5,8,6,2,0,2, null,296,24,19,8, null,2,75,27,24,11, null,6,15,3,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
554,D. Tadić,Dušan,Tadić,36,11/20/1988,Bačka Topola,Yugoslavia,Serbia,181 cm,76 kg,FALSE,https://media.api-sports.io/football/players/554.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,31,30,2589, null, Attacker, '7.464516', False,1,14,1,37,22,9,0,11, null,1078,71,25,26,2,8,221,94,43,22, null,35,23,3,0,0, null, null,6,3, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
607,A. Bakasetas,Anastasios,Bakasetas,31,6/28/1993,Korinth,Greece,Greece,181 cm,75 kg,FALSE,https://media.api-sports.io/football/players/607.png,998, Trabzonspor, https://media.api-sports.io/football/teams/998.png,18,14,1410, null, Midfielder, '7.223529', False,4,0,4,25,12,4,0,2, null,728,25,35,29,1,6,126,71,12,8, null,26,19,3,0,0, null, null,1,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
662,T. Ndombélé,Tanguy,Ndombélé Alvaro,28,12/28/1996,Longjumeau,France,France,181 cm,76 kg,FALSE,https://media.api-sports.io/football/players/662.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,18,4,449, null, Midfielder, '6.756250', False,14,3,19,3,1,0,0,1, null,271,7,14,14, null,7,75,41,10,4, null,14,9,0,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
691,Tetê,Mateus,Cardoso Lemos Martins,24,2/15/2000,Alvorada,Brazil,Brazil,175 cm,70 kg,FALSE,https://media.api-sports.io/football/players/691.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,28,12,1040, null, Attacker, '6.848148', False,16,11,17,28,14,0,0,3, null,471,27,14,9, null,3,134,56,39,21, null,18,11,1,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
717,K. Demirbay,Kerem,Demirbay,31,7/3/1993,Herten,Germany,Germany,183 cm,73 kg,FALSE,https://media.api-sports.io/football/players/717.png,645, Galatasaray, https://media.api-sports.io/football/teams/645.png,28,21,1736, null, Midfielder, '7.200000', False,7,19,10,29,13,5,0,2, null,1078,38,31,53,4,16,219,107,24,13, null,20,47,2,0,0, null, null,1,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
785,C. Ünder,Cengiz,Ünder,27,7/14/1997,Balıkesir,Türkiye,Türkiye,173 cm,66 kg,FALSE,https://media.api-sports.io/football/players/785.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,21,13,887, null, Attacker, '7.055000', False,8,13,10,27,18,9,0,2, null,323,20,11,12, null,3,81,30,20,4, null,10,11,3,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
790,E. Džeko,Edin,Džeko,38,3/17/1986,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina,193 cm,80 kg,FALSE,https://media.api-sports.io/football/players/790.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,30,30,2420, null, Attacker, '7.483333', False,0,23,0,110,54,19,0,3, null,762,32,17,14,2,2,299,136,57,23, null,33,31,3,0,0, null, null,1,1, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
